"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Ukraine","1982","Total","May","Data tabulated by year of registration","Final figure, complete","1983","66429",
"Ukraine","1982","Total","June","Data tabulated by year of registration","Final figure, complete","1983","64322",
"Ukraine","1982","Total","July","Data tabulated by year of registration","Final figure, complete","1983","66661",
"Ukraine","1982","Total","August","Data tabulated by year of registration","Final figure, complete","1983","64268",
"Ukraine","1982","Total","September","Data tabulated by year of registration","Final figure, complete","1983","59544",
"Ukraine","1982","Total","October","Data tabulated by year of registration","Final figure, complete","1983","58853",
"Ukraine","1982","Total","November","Data tabulated by year of registration","Final figure, complete","1983","60007",
"Ukraine","1982","Total","December","Data tabulated by year of registration","Final figure, complete","1983","60697",
"Ukraine","1981","Total","Total","Data tabulated by year of registration","Final figure, complete","1982","733183",
"Ukraine","1981","Total","January","Data tabulated by year of registration","Final figure, complete","1982","62402",
"Ukraine","1981","Total","February","Data tabulated by year of registration","Final figure, complete","1982","56265",
"Ukraine","1981","Total","March","Data tabulated by year of registration","Final figure, complete","1982","62167",
"Ukraine","1981","Total","April","Data tabulated by year of registration","Final figure, complete","1982","62322",
"Ukraine","1981","Total","May","Data tabulated by year of registration","Final figure, complete","1982","65884",
"Ukraine","1981","Total","June","Data tabulated by year of registration","Final figure, complete","1982","65298",
"Ukraine","1981","Total","July","Data tabulated by year of registration","Final figure, complete","1982","66895",
"Ukraine","1981","Total","August","Data tabulated by year of registration","Final figure, complete","1982","63006",
"Ukraine","1981","Total","September","Data tabulated by year of registration","Final figure, complete","1982","58389",
"Ukraine","1981","Total","October","Data tabulated by year of registration","Final figure, complete","1982","57685",
"Ukraine","1981","Total","November","Data tabulated by year of registration","Final figure, complete","1982","56422",
"Ukraine","1981","Total","December","Data tabulated by year of registration","Final figure, complete","1982","56448",
"Ukraine","1980","Total","Total","Data tabulated by year of registration","Final figure, complete","1991","742489",
"Ukraine","1980","Total","January","Data tabulated by year of registration","Final figure, complete","1991","61261",
"Ukraine","1980","Total","February","Data tabulated by year of registration","Final figure, complete","1991","56037",
"Ukraine","1980","Total","March","Data tabulated by year of registration","Final figure, complete","1991","62350",
"Ukraine","1980","Total","April","Data tabulated by year of registration","Final figure, complete","1991","65089",
"Ukraine","1980","Total","May","Data tabulated by year of registration","Final figure, complete","1991","67458",
"Ukraine","1980","Total","June","Data tabulated by year of registration","Final figure, complete","1991","65304",
"Ukraine","1980","Total","July","Data tabulated by year of registration","Final figure, complete","1991","68145",
"Ukraine","1980","Total","August","Data tabulated by year of registration","Final figure, complete","1991","64793",
"Ukraine","1980","Total","September","Data tabulated by year of registration","Final figure, complete","1991","59506",
"Ukraine","1980","Total","October","Data tabulated by year of registration","Final figure, complete","1991","59808",
"Ukraine","1980","Total","November","Data tabulated by year of registration","Final figure, complete","1991","56821",
"Ukraine","1980","Total","December","Data tabulated by year of registration","Final figure, complete","1991","55917",
,,,,,,,,
"footnoteSeqID","Footnote",,,,,,,
"1","The Government of Ukraine has informed the United Nations that it is not in a position to provide statistical data concerning the Autonomous Republic of Crimea and the city of Sevastopol.",,,,,,,
"2","Data refer to births with weight 500g and more (if weight is unknown - with length 25 centimeters and more, or with gestation during 22 weeks or more).",,,,,,,
"3","Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",,,,,,,
